"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"1-800-FLORALS","","5656132","Fresh Flower Bouquets Online","Fresh Flower Bouquets Online","flower,flowers,florist,florists,roses,plants,fresh flowers,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-5656132"" target=""_top"">Fresh Flower Bouquets Online</a><img src=""https://www.tqlkg.com/image-101501157-5656132"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-56825717?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101501157-5656132","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656129","Anniversary Flowers Online","Anniversary Flowers Online","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop","Text Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.dpbolvw.net/click-101501157-5656129"" target=""_top"">Anniversary Flowers Online</a><img src=""https://www.tqlkg.com/image-101501157-5656129"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825718?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-5656129","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10281236","Funeral Flowers","Funeral Flowers for Wakes, Memorials and Sympathy Expressions","funeral flowers, sympathy flowers, sympathy gifts","Text Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-10281236"" target=""_top"">Funeral Flowers</a><img src=""https://www.lduhtrp.net/image-101501157-10281236"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-56825719?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-10281236","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10025573","468x60 Send Flowers, Send Smiles","Send Flowers with 1-800-FLORALS Flower Delivery - 468x60 Banner","send flowers,flower delivery,florist,flowers online","Banner","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-10025573"" target=""_top""> <img src=""https://www.awltovhc.com/image-101501157-10025573"" width=""468"" height=""60"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-56825720?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101501157-10025573","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","11760543","Monthly Flowers Gifts","Monthly Flowers Gifts","monthly flowers","Text Link","$0.00 USD","$0.00 USD","31-Oct-2024","<a href=""https://www.kqzyfj.com/click-101501157-11760543"" target=""_top"">Monthly Flowers</a><img src=""https://www.tqlkg.com/image-101501157-11760543"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-56825721?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101501157-11760543","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5598124","120 X 90","120 X 90","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops","Banner","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.jdoqocy.com/click-101501157-5598124"" target=""_top""> <img src=""https://www.lduhtrp.net/image-101501157-5598124"" width=""120"" height=""90"" alt=""Order Flowers Online"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-56825722?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-5598124","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10280315","Valentine's Flowers","Valentine's Day Flowers","holiday flowers","Text Link","$0.00 USD","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-10280315"" target=""_top"">Send Valentine's Flowers Online</a><img src=""https://www.ftjcfx.com/image-101501157-10280315"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825723?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-10280315","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","10370285","468 x 60 Red Roses Banner","Flower Delivery- Send Flowers Online - Seasonal Flowers","flowers, send flowers, roses, flower delivery, flowers online, florist, florists, tulips, red roses, fresh flowers, same day,next day,floral,bouquets","Banner","N/A","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-10370285"" target=""_top""> <img src=""https://www.awltovhc.com/image-101501157-10370285"" width=""468"" height=""60"" alt=""Send Flowers at 1-800-FLORALS"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-56825724?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101501157-10370285","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","US","15077776","240x140-Logo","Send Flowers with 1-800-FLORALS","florist, flower delivery, send flowers","Banner","$1.37 USD","N/A","31-Oct-2024","<a href=""https://www.anrdoezrs.net/click-101501157-15077776"" target=""_top""> <img src=""https://www.ftjcfx.com/image-101501157-15077776"" width=""240"" height=""140"" alt="""" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-56825725?target=_top&mouseover=N""></script>","https://www.dpbolvw.net/click-101501157-15077776","N/A","","","","Flowers","857900","Active","English","No"
"1-800-FLORALS","","5656151","120x60 Blue","120blua","flower,flowers,florist,florists,roses,plants,house plant/s,flower delivery,funeral flowers,sympathy flowers,send flowers,bouquet,bouquets,flower shop,flower shops,800 flowers,1800 flowers,flower arrangements,red roses,ftd florists,ftd florist,ftd flowers,flowers online,florists online,florist online,online flowers,online florist,online florists,order flowers,buy flowers,florist shop,florist shops","Banner","$4.29 USD","N/A","31-Oct-2024","<a href=""https://www.tkqlhce.com/click-101501157-5656151"" target=""_top""> <img src=""https://www.tqlkg.com/image-101501157-5656151"" width=""120"" height=""60"" alt=""Order Flowers Online!"" border=""0""/></a>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-56825726?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101501157-5656151","N/A","","","","Flowers","857900","Active","English","No"
